ID_Paciente,Nome,Data_Nascimento,Sexo,CPF,Cartao_SUS,Nome_Mãe,Etnia,Escolaridade,Estado_Civil,Naturalidade
908,Dr. Bruno Barros,1986-11-19,Masculino,549.601.372-07,885524815029194,Dra. Joana das Neves,Amarela,Ensino Superior,Viúvo(a),Rocha das Pedras
942,Luiz Felipe Azevedo,1963-06-16,Feminino,138.975.604-10,997230550462170,Juliana da Mota,Parda,Ensino Médio,Solteiro(a),da Cunha
24,Kevin da Conceição,1947-05-10,Masculino,962.350.817-40,11532100583947,Letícia Cardoso,Indígena,Ensino Superior,Solteiro(a),Campos das Pedras
422,João Vitor Lopes,1987-07-09,Feminino,186.497.203-31,383544082756373,Nicole Fogaça,Indígena,Ensino Fundamental,Viúvo(a),Souza de Minas
797,Clara da Rocha,1991-09-28,Feminino,756.391.248-73,732177562648041,Maria Sophia Mendes,Parda,Ensino Superior,Divorciado(a),Souza do Galho
621,Dra. Emanuella Martins,1942-09-01,Masculino,436.198.750-57,979606459486432,Alice Costa,Amarela,Ensino Fundamental,Viúvo(a),Aragão
518,Juliana Farias,1956-06-23,Feminino,845.071.932-14,761982653175845,Alícia Pereira,Indígena,Ensino Superior,Solteiro(a),Vieira
547,Nicolas das Neves,1990-01-18,Feminino,236.851.704-90,835874217739593,Sabrina Pinto,Indígena,Ensino Fundamental,Viúvo(a),Ribeiro de da Rocha
972,Matheus Sales,1970-04-10,Feminino,490.815.627-11,239968072737342,Dra. Luna Martins,Branca,Ensino Médio,Divorciado(a),Silveira
356,Sra. Juliana Correia,1951-04-19,Masculino,750.128.394-04,736001452921279,Olivia Lima,Negra,Ensino Fundamental,Divorciado(a),Pinto de Ramos
450,Ana Luiza Ferreira,2006-05-30,Feminino,401.597.368-20,611836518919523,Nina Alves,Negra,Ensino Superior,Casado(a),Monteiro Alegre
644,Ana Laura da Conceição,1996-02-20,Feminino,160.854.293-98,159860010731691,Srta. Juliana Jesus,Branca,Ensino Superior,Viúvo(a),Correia de Martins
397,Sra. Ana Freitas,1936-01-30,Feminino,354.127.680-08,947672607308180,Júlia Monteiro,Indígena,Ensino Superior,Divorciado(a),Oliveira de Costela
653,Agatha Cardoso,1972-04-29,Masculino,465.031.892-06,226881682976328,Marcela Costa,Negra,Ensino Médio,Solteiro(a),Souza
395,Isis Jesus,1933-09-11,Masculino,642.795.318-46,271478807858641,Ana Lívia Porto,Negra,Ensino Fundamental,Solteiro(a),Lopes
545,Maria Fernanda da Luz,1947-01-04,Feminino,712.846.530-80,551315999874059,Maysa Ribeiro,Branca,Ensino Médio,Solteiro(a),Pires
462,Dra. Maysa Rezende,1937-07-14,Feminino,803.529.641-89,610887671251440,Maria Vitória Souza,Indígena,Ensino Fundamental,Solteiro(a),Barros
239,Raul Lopes,2000-11-11,Masculino,219.803.457-32,415776281982643,Ana Laura da Mata,Negra,Ensino Superior,Divorciado(a),Moraes de da Conceição
373,Pietro Aragão,1972-08-31,Feminino,425.637.819-73,820236583045800,Stephany Caldeira,Indígena,Ensino Fundamental,Casado(a),Monteiro do Norte
574,Leonardo Pereira,1976-05-08,Masculino,792.851.063-40,852325488819026,Raquel Pereira,Amarela,Ensino Fundamental,Casado(a),Moura das Flores
756,Cecília Pires,1956-04-12,Feminino,425.168.703-53,991114280147466,Julia Cardoso,Branca,Ensino Médio,Divorciado(a),Porto Verde
425,Calebe Moreira,1988-02-12,Feminino,932.810.647-87,457101642096918,Eloah da Cunha,Amarela,Ensino Médio,Solteiro(a),Fernandes de Freitas
341,Dr. Benício Nascimento,1978-08-19,Masculino,630.197.845-57,906632592445709,Dra. Stephany Silva,Indígena,Ensino Superior,Casado(a),Peixoto do Amparo
209,Emanuelly Dias,1997-12-20,Feminino,053.149.286-98,142195363623918,Júlia Castro,Branca,Ensino Médio,Casado(a),Dias Alegre
441,Breno Ramos,1993-03-06,Masculino,954.180.732-14,121618383321827,Ana Julia da Rosa,Indígena,Ensino Médio,Viúvo(a),Jesus do Oeste
708,Renan Rezende,1960-02-08,Feminino,843.659.120-89,526271910422815,Gabrielly da Paz,Amarela,Ensino Fundamental,Solteiro(a),Pires
